226	6419	Reward: 6.0	 Reward_mean: 6.3 	 Epsilon: 1.0 
227	6448	Reward: 4.0	 Reward_mean: 6.4 	 Epsilon: 1.0 
228	6475	Reward: 2.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
229	6500	Reward: 4.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
230	6518	Reward: 3.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
231	6553	Reward: 10.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
232	6582	Reward: 6.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
233	6595	Reward: 0.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
234	6623	Reward: 5.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
235	6662	Reward: 13.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
236	6709	Reward: 8.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
237	6749	Reward: 9.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
238	6786	Reward: 8.0	 Reward_mean: 6.3 	 Epsilon: 1.0 
239	6804	Reward: 1.0	 Reward_mean: 6.3 	 Epsilon: 1.0 
240	6823	Reward: 2.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
241	6844	Reward: 2.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
242	6874	Reward: 5.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
243	6898	Reward: 1.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
244	6919	Reward: 2.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
245	6939	Reward: 3.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
246	6965	Reward: 5.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
247	6989	Reward: 7.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
248	7007	Reward: 3.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
249	7023	Reward: 1.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
250	7040	Reward: 2.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
251	7061	Reward: 4.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
252	7087	Reward: 5.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
253	7110	Reward: 2.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
254	7133	Reward: 4.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
255	7177	Reward: 11.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
256	7202	Reward: 4.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
257	7235	Reward: 6.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
